icao,lat,lon,name
FASD,-32.964066,17.969331,Saldanha / Vredenburg
FALW,-32.968900,18.160300,Langebaanweg
FACT,-33.971500,18.602100,Cape Town Intl
FAJS,-26.139200,28.246000,OR Tambo (legacy code sometimes seen)
FAOR,-26.139200,28.246000,OR Tambo
FALA,-25.938500,27.925800,Lanseria
FAGG,-34.005600,22.375800,George
FAPE,-33.984900,25.617300,Port Elizabeth / Gqeberha
FADN,-29.970300,30.950500,Durban / King Shaka area (Virginia nearby)
FALE,-29.614400,31.119700,King Shaka
FAUP,-28.400600,21.260300,Upington
FABL,-29.092700,26.302400,Bloemfontein
FAPP,-23.845300,29.458700,Polokwane
FAKM,-28.805000,24.765000,Kimberley
