icao,lat,lon,name
FAAB,-28.575001,16.533300,Alexander Bay Airport
FAAE,-32.466386,24.064016,Aberdeen Airport
FAAF,-34.763345,20.036357,Andrew's Field
FAAG,-29.281799,18.813900,Aggeneys Airport
FAAL,-22.679001,29.055500,Alldays Airport
FAAM,-26.633803,30.605561,Amsterdam Airport
FAAN,-30.681072,26.730141,Aliwal North Airport
FAAS,-33.837978,20.049838,Ashton Airport
FABA,-25.976256,28.389015,Microland Flight Park
FABB,-26.238600,28.301800,Brakpan Airport
FABD,-30.980916,26.307312,Burghersdorp Airport
FABE,-32.897099,27.279100,Bisho Airport
FABF,-30.970940,27.610113,Barkly East Airport
FABG,-24.702464,31.587875,Buffelshoek Airport
FABH,-25.658742,30.041578,Belfast Aerodrome
FABK,-32.035000,19.043500,Bushmans Kloof Airport
FABL,-29.092699,26.302401,Bram Fischer International Airport
FABM,-28.248400,28.336100,Bethlehem Airport
FABO,-27.366800,26.629200,Hendrik Potgieter Airport
FABP,-27.129724,22.846255,Black Rock Airport
FABR,-25.717147,30.974974,Barberton Airport
FABS,-25.532301,27.775900,Brits Airport
FABT,-31.873199,24.796900,Bethesda Road Airport
FABU,-28.273369,26.135835,Bultfontein Airport
FABV,-30.467773,20.469417,Brandviei Airfield
FABW,-32.299999,22.670000,Beaufort West Airport
FABX,-28.245001,26.771900,Beatrix Airport
FABZ,-30.860300,29.863899,Bizana Airport
FACA,-28.799999,27.417000,Monte Carlo Airport
FACB,-30.733900,25.065001,Colesberg Airport
FACC,-24.740527,31.517973,Arathusa Safari Lodge Airport
FACD,-32.156700,25.645599,Cradock Airport
FACE,-33.316594,19.426676,Ceres Airport
FACF,-34.186901,24.834999,St Francis Airfield
FACG,-34.259523,19.416214,Caledon Airfield
FACH,-32.744701,25.796301,Cookhouse Airport
FACI,-32.619680,19.003840,Citrusdal Airport
FACK,-27.877192,25.204376,Christiana Airport
FACL,-26.078100,30.092501,Carolina Airport
FACN,-30.988600,22.131701,Carnarvon Airport
FACR,-26.366667,27.346666,Carltonville Airport
FACT,-33.974030,18.604333,Cape Town International Airport
FACV,-31.500299,19.725901,Calvinia Airport
FACW,-32.177000,18.881900,Clanwilliam Airport
FACX,-32.287102,27.138800,Cathcart Airport
FACY,-34.351799,21.424801,Stilbaai Airport
FADA,-30.692200,24.020599,De Aar Airport
FADB,-24.807199,26.829700,Dwaalboom Airport
FADC,-29.074600,23.800900,Douglas Cape Airport
FADD,-28.183100,30.222500,Dundee Airport
FADE,-26.141666,28.691668,Delmas Airport
FADG,-31.383333,27.033333,Dordrecht Airport
FADH,-28.046101,30.006399,Durnacol Airport
FADK,-28.368401,32.248100,Mubatuba Airport
FADL,-26.679199,25.474701,Delareyville Airport
FADM,-30.556499,29.408199,Kokstad Airport
FADO,-23.380600,29.320801,Dendron Airport
FADP,-33.183201,25.193199,Darlington Dam Lodge Airport
FADQ,-27.849400,32.309700,Zulu Inyala Airport
FADS,-33.455557,19.684493,De Doorns Airport
FADU,-25.362780,30.187780,Walkersons Field
FADV,-26.358999,28.789700,Devon Airport
FADX,-33.649494,18.471880,Delta 200 Airstrip
FADY,-30.636509,23.919725,De Aar Military Airport
FADZ,-29.750000,29.250000,Drakensberg Gardens Airport
FAEC,-29.047199,29.910601,Estcourt Airport
FAED,-29.750000,25.900000,Edenburg Airport
FAEG,-24.566999,30.316999,Egnep Airport
FAEL,-33.035599,27.825899,King Phalo Airport
FAEM,-28.719999,31.889999,Empangeni Airport
FAEN,-24.193300,28.735000,Entabeni Airstrip
